DATE / TIME (PST),M FLOW CFS
5/29/2011,"5,458"
5/30/2011,"5,458"
5/31/2011,"5,458"
6/1/2011,"5,457"
6/2/2011,"5,458"
6/3/2011,"5,458"
6/4/2011,"5,456"
6/5/2011,"5,459"
6/6/2011,"5,460"
6/7/2011,"5,459"
6/8/2011,"5,462"
6/9/2011,"5,461"
6/10/2011,"5,462"
6/11/2011,"5,460"
6/12/2011,"5,460"
6/13/2011,"5,461"
6/14/2011,"3,582"
6/15/2011,"2,138"
6/16/2011,"2,097"
6/17/2011,"2,267"
6/18/2011,"2,458"
6/19/2011,"2,428"
6/20/2011,"2,540"
6/21/2011,"2,854"
6/22/2011,"3,277"
6/23/2011,"3,978"
6/24/2011,"4,638"
6/25/2011,"4,817"
6/26/2011,"5,219"
6/27/2011,"5,776"
6/28/2011,"6,125"
6/29/2011,"6,219"
6/30/2011,"6,219"
7/1/2011,"6,473"
7/2/2011,"6,988"
7/3/2011,"7,030"
7/4/2011,"6,604"
7/5/2011,"6,018"
7/6/2011,"5,795"
7/7/2011,"5,712"
7/8/2011,"5,579"
7/9/2011,"5,448"
7/10/2011,"5,568"
7/11/2011,"5,842"
7/12/2011,"6,082"
7/13/2011,"6,564"
7/14/2011,"7,004"
7/15/2011,"6,972"
7/16/2011,"5,821"
7/17/2011,"3,870"
7/18/2011,"2,974"
7/19/2011,"2,573"
7/20/2011,"2,229"
7/21/2011,"1,938"
7/22/2011,"1,722"
7/23/2011,"1,539"
7/24/2011,"1,421"
7/25/2011,"1,302"
7/26/2011,"1,283"
7/27/2011,"1,260"
7/28/2011,"1,197"
7/29/2011,"1,129"
7/30/2011,"1,056"
7/31/2011,"1,043"
8/1/2011,"1,022"
8/2/2011,986
8/3/2011,991
8/4/2011,982
8/5/2011,"1,023"
8/6/2011,980
8/7/2011,"1,042"
8/8/2011,"1,019"
8/9/2011,"1,002"
8/10/2011,928
8/11/2011,822
8/12/2011,765
8/13/2011,802
8/14/2011,818
8/15/2011,843
8/16/2011,765
8/17/2011,770
8/18/2011,790
8/19/2011,737
8/20/2011,771
8/21/2011,797
8/22/2011,780
8/23/2011,779
8/24/2011,"1,203"
8/25/2011,"1,665"
8/26/2011,"1,842"
8/27/2011,"1,888"
8/28/2011,"1,939"
8/29/2011,"1,860"
8/30/2011,"1,625"
8/31/2011,"1,866"
9/1/2011,"1,869"
9/2/2011,"1,341"
9/3/2011,"1,006"
9/4/2011,908
9/5/2011,846
9/6/2011,811
9/7/2011,806
9/8/2011,723
9/9/2011,696
9/10/2011,702
9/11/2011,721
9/12/2011,758
9/13/2011,789
9/14/2011,"1,044"
9/15/2011,"1,185"
9/16/2011,"1,199"
9/17/2011,"1,168"
9/18/2011,"1,258"
9/19/2011,"1,351"
9/20/2011,"1,299"
9/21/2011,"1,294"
9/22/2011,"1,222"
9/23/2011,"1,223"
9/24/2011,"1,274"
9/25/2011,"1,327"
9/26/2011,"1,416"
9/27/2011,"1,333"
9/28/2011,"1,329"
9/29/2011,"1,294"
9/30/2011,"1,244"
10/1/2011,"1,267"
10/2/2011,"1,320"
10/3/2011,"1,420"
10/4/2011,"1,440"
10/5/2011,"1,514"
10/6/2011,"1,667"
10/7/2011,"1,780"
10/8/2011,"1,870"
10/9/2011,"1,895"
10/10/2011,"1,905"
10/11/2011,"1,882"
10/12/2011,"1,871"
10/13/2011,"1,929"
10/14/2011,"1,919"
10/15/2011,"1,899"
10/16/2011,"1,863"
10/17/2011,"1,920"
10/18/2011,"1,844"
10/19/2011,"1,749"
10/20/2011,"1,762"
10/21/2011,"1,711"
10/22/2011,"1,788"
10/23/2011,"1,800"
10/24/2011,"1,859"
10/25/2011,"1,790"
10/26/2011,"1,785"
10/27/2011,"1,745"
10/28/2011,"1,792"
10/29/2011,"1,878"
10/30/2011,"1,847"
10/31/2011,"1,884"
11/1/2011,"1,856"
11/2/2011,"1,566"
11/3/2011,"1,387"
11/4/2011,"1,235"
11/5/2011,"1,104"
11/6/2011,"1,088"
11/7/2011,"1,024"
11/8/2011,"1,006"
11/9/2011,978
11/10/2011,999
11/11/2011,"1,028"
11/12/2011,"1,028"
11/13/2011,"1,019"
11/14/2011,"1,011"
11/15/2011,"1,001"
11/16/2011,992
11/17/2011,999
11/18/2011,"1,039"
11/19/2011,"1,123"
11/20/2011,"1,218"
11/21/2011,"1,172"
11/22/2011,"1,079"
11/23/2011,"1,041"
11/24/2011,"1,008"
11/25/2011,996
11/26/2011,957
11/27/2011,946
11/28/2011,906
11/29/2011,868
11/30/2011,817
12/1/2011,747
12/2/2011,695
12/3/2011,677
12/4/2011,660
12/5/2011,608
12/6/2011,574
12/7/2011,553
12/8/2011,555
12/9/2011,746
12/10/2011,852
12/11/2011,866
12/12/2011,890
12/13/2011,879
12/14/2011,866
12/15/2011,867
12/16/2011,868
12/17/2011,869
12/18/2011,888
12/19/2011,898
12/20/2011,903
12/21/2011,896
12/22/2011,894
12/23/2011,879
12/24/2011,887
12/25/2011,908
12/26/2011,890
12/27/2011,865
12/28/2011,853
12/29/2011,872
12/30/2011,918
12/31/2011,954
1/1/2012,927
1/2/2012,890
1/3/2012,845
1/4/2012,795
1/5/2012,793
1/6/2012,793
1/7/2012,804
1/8/2012,835
1/9/2012,855
1/10/2012,818
1/11/2012,649
1/12/2012,628
1/13/2012,618
1/14/2012,618
1/15/2012,626
1/16/2012,626
1/17/2012,618
1/18/2012,618
1/19/2012,618
1/20/2012,625
1/21/2012,748
1/22/2012,829
1/23/2012,898
1/24/2012,821
1/25/2012,771
1/26/2012,770
1/27/2012,741
1/28/2012,747
1/29/2012,744
1/30/2012,741
1/31/2012,717
2/1/2012,763
2/2/2012,687
2/3/2012,673
2/4/2012,677
2/5/2012,680
2/6/2012,671
2/7/2012,670
2/8/2012,678
2/9/2012,643
2/10/2012,627
2/11/2012,629
2/12/2012,641
2/13/2012,647
2/14/2012,649
2/15/2012,653
2/16/2012,693
2/17/2012,731
2/18/2012,715
2/19/2012,723
2/20/2012,714
2/21/2012,668
2/22/2012,656
2/23/2012,667
2/24/2012,656
2/25/2012,638
2/26/2012,663
2/27/2012,660
2/28/2012,627
2/29/2012,627
3/1/2012,627
3/2/2012,630
3/3/2012,662
3/4/2012,747
3/5/2012,755
3/6/2012,665
3/7/2012,645
3/8/2012,653
3/9/2012,704
3/10/2012,744
3/11/2012,760
3/12/2012,752
3/13/2012,752
3/14/2012,799
3/15/2012,855
3/16/2012,846
3/17/2012,927
3/18/2012,963
3/19/2012,"1,063"
3/20/2012,"1,231"
3/21/2012,"1,263"
3/22/2012,"1,208"
3/23/2012,"1,080"
3/24/2012,977
3/25/2012,932
3/26/2012,898
3/27/2012,851
3/28/2012,849
3/29/2012,796
3/30/2012,715
3/31/2012,722
4/1/2012,724
4/2/2012,691
4/3/2012,688
4/4/2012,682
4/5/2012,682
4/6/2012,682
4/7/2012,682
4/8/2012,682
4/9/2012,682
4/10/2012,682
4/11/2012,682
4/12/2012,682
4/13/2012,742
4/14/2012,806
4/15/2012,"1,250"
4/16/2012,"1,520"
4/17/2012,"1,420"
4/18/2012,"1,110"
4/19/2012,901
4/20/2012,825
4/21/2012,704
4/22/2012,697
4/23/2012,695
4/24/2012,696
4/25/2012,695
4/26/2012,695
4/27/2012,695
4/28/2012,696
4/29/2012,696
4/30/2012,729
5/1/2012,892
5/2/2012,942
5/3/2012,"1,018"
5/4/2012,"1,079"
5/5/2012,"1,127"
5/6/2012,"1,200"
5/7/2012,"1,274"
5/8/2012,"1,224"
5/9/2012,"1,190"
5/10/2012,"1,071"
5/11/2012,871
5/12/2012,807
5/13/2012,740
5/14/2012,679
5/15/2012,585
5/16/2012,490
5/17/2012,461
5/18/2012,450
5/19/2012,448
5/20/2012,450
5/21/2012,452
5/22/2012,449
5/23/2012,448
5/24/2012,448
5/25/2012,448
5/26/2012,448
5/27/2012,448
5/28/2012,448
5/29/2012,448
5/30/2012,448
5/31/2012,448
6/1/2012,449
6/2/2012,448
6/3/2012,448
6/4/2012,448
6/5/2012,448
6/6/2012,448
6/7/2012,597
6/8/2012,752
6/9/2012,757
6/10/2012,758
6/11/2012,760
6/12/2012,759
6/13/2012,760
6/14/2012,759
6/15/2012,759
6/16/2012,760
6/17/2012,760
6/18/2012,759
6/19/2012,759
6/20/2012,759
6/21/2012,760
6/22/2012,759
6/23/2012,758
6/24/2012,759
6/25/2012,759
6/26/2012,759
6/27/2012,760
6/28/2012,759
6/29/2012,759
6/30/2012,759
7/1/2012,759
7/2/2012,760
7/3/2012,760
7/4/2012,760
7/5/2012,760
7/6/2012,760
7/7/2012,760
7/8/2012,760
7/9/2012,572
7/10/2012,309
7/11/2012,309
7/12/2012,309
7/13/2012,309
7/14/2012,309
7/15/2012,309
7/16/2012,309
7/17/2012,309
7/18/2012,309
7/19/2012,309
7/20/2012,309
7/21/2012,309
7/22/2012,309
7/23/2012,309
7/24/2012,309
7/25/2012,309
7/26/2012,--
7/27/2012,--
7/28/2012,--
7/29/2012,--
7/30/2012,--
7/31/2012,--
8/1/2012,--
8/2/2012,--
8/3/2012,--
8/4/2012,--
8/5/2012,--
8/6/2012,--
8/7/2012,--
8/8/2012,--
8/9/2012,392
8/10/2012,391
8/11/2012,391
8/12/2012,391
8/13/2012,391
8/14/2012,368
8/15/2012,331
8/16/2012,393
8/17/2012,--
8/18/2012,--
8/19/2012,--
8/20/2012,--
8/21/2012,--
8/22/2012,297
8/23/2012,--
8/24/2012,--
8/25/2012,--
8/26/2012,262
8/27/2012,525
8/28/2012,565
8/29/2012,561
8/30/2012,540
8/31/2012,516
9/1/2012,482
9/2/2012,604
9/3/2012,652
9/4/2012,641
9/5/2012,605
9/6/2012,607
9/7/2012,573
9/8/2012,518
9/9/2012,559
9/10/2012,584
9/11/2012,484
9/12/2012,451
9/13/2012,449
9/14/2012,460
9/15/2012,452
9/16/2012,469
9/17/2012,556
9/18/2012,529
9/19/2012,540
9/20/2012,612
9/21/2012,655
9/22/2012,694
9/23/2012,735
9/24/2012,769
9/25/2012,675
9/26/2012,740
9/27/2012,775
9/28/2012,821
9/29/2012,688
9/30/2012,749
10/1/2012,729
10/2/2012,562
10/3/2012,556
10/4/2012,526
10/5/2012,474
10/6/2012,439
10/7/2012,463
10/8/2012,459
10/9/2012,460
10/10/2012,481
10/11/2012,535
10/12/2012,514
10/13/2012,528
10/14/2012,559
10/15/2012,586
10/16/2012,552
10/17/2012,524
10/18/2012,573
10/19/2012,636
10/20/2012,840
10/21/2012,"1,222"
10/22/2012,"1,196"
10/23/2012,"1,053"
10/24/2012,914
10/25/2012,863
10/26/2012,802
10/27/2012,732
10/28/2012,666
10/29/2012,628
10/30/2012,614
10/31/2012,599
11/1/2012,602
11/2/2012,611
11/3/2012,595
11/4/2012,602
11/5/2012,616
11/6/2012,609
11/7/2012,603
11/8/2012,612
11/9/2012,601
11/10/2012,608
11/11/2012,648
11/12/2012,657
11/13/2012,640
11/14/2012,655
11/15/2012,654
11/16/2012,638
11/17/2012,666
11/18/2012,686
11/19/2012,684
11/20/2012,650
11/21/2012,664
11/22/2012,658
11/23/2012,670
11/24/2012,671
11/25/2012,668
11/26/2012,662
11/27/2012,674
11/28/2012,685
11/29/2012,718
11/30/2012,755
12/1/2012,799
12/2/2012,856
12/3/2012,903
12/4/2012,957
12/5/2012,996
12/6/2012,996
12/7/2012,930
12/8/2012,888
12/9/2012,857
12/10/2012,837
12/11/2012,812
12/12/2012,769
12/13/2012,728
12/14/2012,723
12/15/2012,679
12/16/2012,669
12/17/2012,678
12/18/2012,687
12/19/2012,685
12/20/2012,682
12/21/2012,686
12/22/2012,715
12/23/2012,747
12/24/2012,"1,226"
12/25/2012,"1,395"
12/26/2012,"1,442"
12/27/2012,"1,466"
12/28/2012,"1,602"
12/29/2012,"1,638"
12/30/2012,"1,523"
12/31/2012,"1,312"
1/1/2013,"1,150"
1/2/2013,"1,000"
1/3/2013,938
1/4/2013,882
1/5/2013,831
1/6/2013,868
1/7/2013,837
1/8/2013,"1,039"
1/9/2013,"1,263"
1/10/2013,"1,305"
1/11/2013,"1,232"
1/12/2013,"1,157"
1/13/2013,"1,071"
1/14/2013,"1,062"
1/15/2013,"1,023"
1/16/2013,992
1/17/2013,977
1/18/2013,945
1/19/2013,937
1/20/2013,897
1/21/2013,898
1/22/2013,889
1/23/2013,873
1/24/2013,860
1/25/2013,843
1/26/2013,850
1/27/2013,818
1/28/2013,831
1/29/2013,835
1/30/2013,820
1/31/2013,805
2/1/2013,800
2/2/2013,795
2/3/2013,768
2/4/2013,771
2/5/2013,762
2/6/2013,761
2/7/2013,749
2/8/2013,735
2/9/2013,726
2/10/2013,718
2/11/2013,708
2/12/2013,666
2/13/2013,633
2/14/2013,637
2/15/2013,650
2/16/2013,670
2/17/2013,672
2/18/2013,685
2/19/2013,732
2/20/2013,780
2/21/2013,780
2/22/2013,825
2/23/2013,825
2/24/2013,848
2/25/2013,842
2/26/2013,838
2/27/2013,784
2/28/2013,773
3/1/2013,749
3/2/2013,742
3/3/2013,807
3/4/2013,761
3/5/2013,721
3/6/2013,737
3/7/2013,748
3/8/2013,810
3/9/2013,841
3/10/2013,863
3/11/2013,826
3/12/2013,757
3/13/2013,735
3/14/2013,729
3/15/2013,721
3/16/2013,740
3/17/2013,796
3/18/2013,827
3/19/2013,862
3/20/2013,816
3/21/2013,794
3/22/2013,755
3/23/2013,785
3/24/2013,808
3/25/2013,839
3/26/2013,751
3/27/2013,706
3/28/2013,699
3/29/2013,656
3/30/2013,682
3/31/2013,753
4/1/2013,785
4/2/2013,800
4/3/2013,761
4/4/2013,829
4/5/2013,856
4/6/2013,828
4/7/2013,836
4/8/2013,796
4/9/2013,787
4/10/2013,790
4/11/2013,698
4/12/2013,611
4/13/2013,523
4/14/2013,495
4/15/2013,502
4/16/2013,458
4/17/2013,484
4/18/2013,462
4/19/2013,610
4/20/2013,665
4/21/2013,657
4/22/2013,611
4/23/2013,510
4/24/2013,488
4/25/2013,447
4/26/2013,442
4/27/2013,433
4/28/2013,444
4/29/2013,446
4/30/2013,424
5/1/2013,425
5/2/2013,414
5/3/2013,407
5/4/2013,387
5/5/2013,406
5/6/2013,417
5/7/2013,428
5/8/2013,431
5/9/2013,593
5/10/2013,648
5/11/2013,637
5/12/2013,670
5/13/2013,731
5/14/2013,741
5/15/2013,692
5/16/2013,639
5/17/2013,647
5/18/2013,663
5/19/2013,676
5/20/2013,661
5/21/2013,681
5/22/2013,630
5/23/2013,571
5/24/2013,555
5/25/2013,534
5/26/2013,567
5/27/2013,665
5/28/2013,601
5/29/2013,625
5/30/2013,638
5/31/2013,558
6/1/2013,576
6/2/2013,672
6/3/2013,701
6/4/2013,643
6/5/2013,560
6/6/2013,543
6/7/2013,541
6/8/2013,539
6/9/2013,556
6/10/2013,560
6/11/2013,491
6/12/2013,455
6/13/2013,461
6/14/2013,459
6/15/2013,477
6/16/2013,505
6/17/2013,469
6/18/2013,451
6/19/2013,444
6/20/2013,443
6/21/2013,423
6/22/2013,441
6/23/2013,459
6/24/2013,459
6/25/2013,478
6/26/2013,465
6/27/2013,456
6/28/2013,446
6/29/2013,438
6/30/2013,445
7/1/2013,444
7/2/2013,450
7/3/2013,430
7/4/2013,428
7/5/2013,429
7/6/2013,436
7/7/2013,437
7/8/2013,437
7/9/2013,410
7/10/2013,401
7/11/2013,407
7/12/2013,362
7/13/2013,333
7/14/2013,366
7/15/2013,382
7/16/2013,315
7/17/2013,365
7/18/2013,374
7/19/2013,381
7/20/2013,378
7/21/2013,406
7/22/2013,389
7/23/2013,353
7/24/2013,376
7/25/2013,389
7/26/2013,370
7/27/2013,372
7/28/2013,409
7/29/2013,404
7/30/2013,383
7/31/2013,364
8/1/2013,341
8/2/2013,376
8/3/2013,362
8/4/2013,382
8/5/2013,393
8/6/2013,347
8/7/2013,313
8/8/2013,334
8/9/2013,366
8/10/2013,351
8/11/2013,345
8/12/2013,315
8/13/2013,326
8/14/2013,301
8/15/2013,300
8/16/2013,298
8/17/2013,263
8/18/2013,342
8/19/2013,354
8/20/2013,--
8/21/2013,--
8/22/2013,--
8/23/2013,--
8/24/2013,--
8/25/2013,--
8/26/2013,--
8/27/2013,--
8/28/2013,125
8/29/2013,--
8/30/2013,--
8/31/2013,--
9/1/2013,--
9/2/2013,189
9/3/2013,--
9/4/2013,--
9/5/2013,--
9/6/2013,181
9/7/2013,231
9/8/2013,314
9/9/2013,265
9/10/2013,138
9/11/2013,103
9/12/2013,--
9/13/2013,--
9/14/2013,258
9/15/2013,289
9/16/2013,260
9/17/2013,263
9/18/2013,270
9/19/2013,335
9/20/2013,392
9/21/2013,532
9/22/2013,762
9/23/2013,941
9/24/2013,"1,062"
9/25/2013,"1,094"
9/26/2013,"1,102"
9/27/2013,"1,123"
9/28/2013,"1,035"
9/29/2013,711
9/30/2013,549
10/1/2013,494
10/2/2013,449
10/3/2013,440
10/4/2013,415
10/5/2013,395
10/6/2013,396
10/7/2013,412
10/8/2013,407
10/9/2013,403
10/10/2013,412
10/11/2013,408
10/12/2013,414
10/13/2013,412
10/14/2013,403
10/15/2013,392
10/16/2013,412
10/17/2013,424
10/18/2013,440
10/19/2013,457
10/20/2013,474
10/21/2013,513
10/22/2013,520
10/23/2013,515
10/24/2013,529
10/25/2013,518
10/26/2013,656
10/27/2013,856
10/28/2013,964
10/29/2013,923
10/30/2013,--
10/31/2013,--
11/1/2013,--
11/2/2013,--
11/3/2013,568
11/4/2013,532
11/5/2013,478
11/6/2013,462
11/7/2013,452
11/8/2013,462
11/9/2013,467
11/10/2013,486
11/11/2013,507
11/12/2013,533
11/13/2013,545
11/14/2013,477
11/15/2013,447
11/16/2013,453
11/17/2013,457
11/18/2013,454
11/19/2013,452
11/20/2013,494
11/21/2013,573
11/22/2013,541
11/23/2013,531
11/24/2013,521
11/25/2013,510
11/26/2013,512
11/27/2013,518
11/28/2013,535
11/29/2013,534
11/30/2013,508
12/1/2013,508
12/2/2013,513
12/3/2013,503
12/4/2013,486
12/5/2013,471
12/6/2013,463
12/7/2013,473
12/8/2013,479
12/9/2013,473
12/10/2013,469
12/11/2013,466
12/12/2013,480
12/13/2013,480
12/14/2013,487
12/15/2013,493
12/16/2013,483
12/17/2013,484
12/18/2013,468
12/19/2013,479
12/20/2013,469
12/21/2013,469
12/22/2013,470
12/23/2013,461
12/24/2013,455
12/25/2013,453
12/26/2013,477
12/27/2013,470
12/28/2013,462
12/29/2013,456
12/30/2013,455
12/31/2013,457
1/1/2014,455
1/2/2014,459
1/3/2014,459
1/4/2014,455
1/5/2014,457
1/6/2014,443
1/7/2014,428
1/8/2014,410
1/9/2014,414
1/10/2014,427
1/11/2014,423
1/12/2014,422
1/13/2014,389
1/14/2014,338
1/15/2014,325
1/16/2014,307
1/17/2014,320
1/18/2014,367
1/19/2014,405
1/20/2014,411
1/21/2014,412
1/22/2014,406
1/23/2014,362
1/24/2014,346
1/25/2014,343
1/26/2014,358
1/27/2014,364
1/28/2014,354
1/29/2014,352
1/30/2014,373
1/31/2014,386
2/1/2014,390
2/2/2014,406
2/3/2014,410
2/4/2014,407
2/5/2014,406
2/6/2014,410
2/7/2014,442
2/8/2014,461
2/9/2014,482
2/10/2014,520
2/11/2014,495
2/12/2014,489
2/13/2014,465
2/14/2014,453
2/15/2014,446
2/16/2014,441
2/17/2014,429
2/18/2014,404
2/19/2014,382
2/20/2014,345
2/21/2014,305
2/22/2014,293
2/23/2014,299
2/24/2014,297
2/25/2014,266
2/26/2014,288
2/27/2014,362
2/28/2014,426
3/1/2014,454
3/2/2014,456
3/3/2014,462
3/4/2014,466
3/5/2014,451
3/6/2014,449
3/7/2014,440
3/8/2014,433
3/9/2014,433
3/10/2014,426
3/11/2014,429
3/12/2014,426
3/13/2014,422
3/14/2014,425
3/15/2014,433
3/16/2014,445
3/17/2014,434
3/18/2014,409
3/19/2014,383
3/20/2014,351
3/21/2014,324
3/22/2014,331
3/23/2014,344
3/24/2014,274
3/25/2014,158
3/26/2014,--
3/27/2014,--
3/28/2014,--
3/29/2014,337
3/30/2014,391
3/31/2014,420
4/1/2014,436
4/2/2014,452
4/3/2014,465
4/4/2014,454
4/5/2014,444
4/6/2014,449
4/7/2014,474
4/8/2014,472
4/9/2014,460
4/10/2014,453
4/11/2014,442
4/12/2014,434
4/13/2014,435
4/14/2014,431
4/15/2014,406
4/16/2014,373
4/17/2014,356
4/18/2014,354
4/19/2014,352
4/20/2014,379
4/21/2014,351
4/22/2014,308
4/23/2014,282
4/24/2014,212
4/25/2014,323
4/26/2014,446
4/27/2014,535
4/28/2014,635
4/29/2014,604
4/30/2014,478
5/1/2014,408
5/2/2014,362
5/3/2014,346
5/4/2014,352
5/5/2014,364
5/6/2014,357
5/7/2014,337
5/8/2014,285
5/9/2014,239
5/10/2014,--
5/11/2014,200
5/12/2014,--
5/13/2014,--
5/14/2014,--
5/15/2014,--
5/16/2014,--
5/17/2014,--
5/18/2014,--
5/19/2014,178
5/20/2014,--
5/21/2014,--
5/22/2014,--
5/23/2014,--
5/24/2014,--
5/25/2014,--
5/26/2014,--
5/27/2014,--
5/28/2014,--
5/29/2014,--
5/30/2014,--
5/31/2014,--
6/1/2014,--
6/2/2014,--
6/3/2014,--
6/4/2014,--
6/5/2014,--
6/6/2014,--
6/7/2014,--
6/8/2014,--
6/9/2014,--
6/10/2014,--
6/11/2014,--
6/12/2014,--
6/13/2014,--
6/14/2014,--
6/15/2014,--
6/16/2014,--
6/17/2014,--
6/18/2014,--
6/19/2014,--
6/20/2014,--
6/21/2014,--
6/22/2014,--
6/23/2014,--
6/24/2014,--
6/25/2014,--
6/26/2014,--
6/27/2014,--
6/28/2014,--
6/29/2014,--
6/30/2014,--
7/1/2014,--
7/2/2014,--
7/3/2014,--
7/4/2014,--
7/5/2014,--
7/6/2014,--
7/7/2014,--
7/8/2014,--
7/9/2014,--
7/10/2014,--
7/11/2014,--
7/12/2014,--
7/13/2014,--
7/14/2014,--
7/15/2014,--
7/16/2014,--
7/17/2014,--
7/18/2014,--
7/19/2014,--
7/20/2014,--
7/21/2014,--
7/22/2014,--
7/23/2014,--
7/24/2014,--
7/25/2014,--
7/26/2014,--
7/27/2014,--
7/28/2014,--
7/29/2014,106
7/30/2014,131
7/31/2014,127
8/1/2014,125
8/2/2014,150
8/3/2014,164
8/4/2014,157
8/5/2014,156
8/6/2014,153
8/7/2014,154
8/8/2014,168
8/9/2014,146
8/10/2014,151
8/11/2014,149
8/12/2014,131
8/13/2014,134
8/14/2014,159
8/15/2014,180
8/16/2014,169
8/17/2014,156
8/18/2014,145
8/19/2014,146
8/20/2014,150
8/21/2014,129
8/22/2014,162
8/23/2014,158
8/24/2014,167
8/25/2014,171
8/26/2014,179
8/27/2014,178
8/28/2014,162
8/29/2014,169
8/30/2014,169
8/31/2014,179
9/1/2014,175
9/2/2014,150
9/3/2014,150
9/4/2014,143
9/5/2014,151
9/6/2014,170
9/7/2014,181
9/8/2014,161
9/9/2014,161
9/10/2014,158
9/11/2014,159
9/12/2014,136
9/13/2014,155
9/14/2014,173
9/15/2014,174
9/16/2014,175
9/17/2014,130
9/18/2014,124
9/19/2014,131
9/20/2014,136
9/21/2014,167
9/22/2014,144
9/23/2014,154
9/24/2014,160
9/25/2014,184
