WEAP_name,SWITCH_name,generation_plant_id,load_zone_id,load_zone_name,gen_tech,energy_source,capacity_limit_mw,capacity_weight,Avg_Annual_Generation_GWh_SWITCH,Notes,RoR_or_Reservoir
Sly Creek,Sly Creek,154630,14,CA_PGE_N,Hydro_NonPumped,Water,12.1,1,30.32427789,,Reservoir
Smith Falls,Smith Falls Hydro Project,155309,43,WA_ID_AVA,Hydro_NonPumped,Water,38.1,1,66.66460767,,RoR
Snoqualmie and Twin Falls,Snoqualmie 2,154968,46,WA_W,Hydro_NonPumped,Water,38.7,1,137.6961333,,RoR
Spaulding Reservoir,Spaulding 1,154427,14,CA_PGE_N,Hydro_NonPumped,Water,7,0.404624277,29.57688889,SWITCH also models Spaulding 2 and Spaulding 3 separately,Reservoir
Spaulding Reservoir,Spaulding 2,154428,14,CA_PGE_N,Hydro_NonPumped,Water,3.7,0.213872832,8.672111111,SWITCH also models Spaulding 2 and Spaulding 3 separately,Reservoir
Spaulding Reservoir,Spaulding 3,154429,14,CA_PGE_N,Hydro_NonPumped,Water,6.6,0.38150289,25.58283333,SWITCH also models Spaulding 2 and Spaulding 3 separately,Reservoir
Spring Creek,Spring Creek,154557,14,CA_PGE_N,Hydro_NonPumped,Water,180,1,364.6596316,,RoR
Stanislaus,Stanislaus,154431,13,CA_PGE_CEN,Hydro_NonPumped,Water,81.9,1,344.169,,RoR
Strawberry Reservoir,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not in SWITCH list,Reservoir
Summer Falls Power Plant,Summer Falls Power Plant,155646,44,WA_N_CEN,Hydro_NonPumped,Water,92,1,375.3610833,,RoR
Swift 1,Swift 1,154760,46,WA_W,Hydro_NonPumped,Water,240,1,646.0983158,,Reservoir
The Dalles,The Dalles,154777,40,OR_WA_BPA,Hydro_NonPumped,Water,1819.7,1,6514.171105,,RoR
Theodore Roosevelt,Roosevelt,154364,6,AZ_PHX,Hydro_NonPumped,Water,36,1,68.16244439,,Reservoir
Thompson Falls,Thompson Falls,154675,30,MT_NW,Hydro_NonPumped,Water,98.1,1,486.9366111,,RoR
Tieton Dam and Reservoir,Tieton Dam Hydro Electric Project,155870,40,OR_WA_BPA,Hydro_NonPumped,Water,13.8,1,52.16677778,,Reservoir
Tiger Creek,Tiger Creek,154433,13,CA_PGE_CEN,Hydro_NonPumped,Water,52.2,1,254.0434444,,RoR
Toketee Falls,Toketee Falls,154710,39,OR_W,Hydro_NonPumped,Water,42.6,1,214.1397223,,RoR
Trinity Lake,Trinity,154558,14,CA_PGE_N,Hydro_NonPumped,Water,140,1,384.8964211,,Reservoir
Turquoise Lake,Sugarloaf Hydro Plant,155192,24,CO_NW,Hydro_NonPumped,Water,2.5,1,4.990337921,Less than 30 MW,Reservoir
Twin Falls,Twin Falls (ID),154644,27,ID_S_OR_E,Hydro_NonPumped,Water,52.7,1,115.9276665,,RoR
Union Valley,Union Valley,154878,14,CA_PGE_N,Hydro_NonPumped,Water,38.6,1,96.577833,,Reservoir
Upper Baker,Upper Baker,154766,46,WA_W,Hydro_NonPumped,Water,104.8,1,337.5703889,,Reservoir
Upper Gorge,Upper Gorge,154519,16,CA_SCE_CEN,Hydro_NonPumped,Water,37.5,1,71.26827778,,RoR
Upper Klamath Lake,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Reservoir
W E Warne,W E Warne,154827,16,CA_SCE_CEN,Hydro_NonPumped,Water,74.2,1,322.6331111,,RoR
Wanapum,Wanapum,154775,44,WA_N_CEN,Hydro_NonPumped,Water,1098,1,4746.661368,,RoR
Wells,Wells,154773,44,WA_N_CEN,Hydro_NonPumped,Water,696.6,1,4070.702737,,RoR
Whiskey Town,Whiskeytown,154912,14,CA_PGE_N,Hydro_NonPumped,Water,3.5,1,24.02394439,,Reservoir
White Rock_Slab Creek,White Rock/Slab Creek,154543,14,CA_PGE_N,Hydro_NonPumped,Water,266.5,1,483.5311579,,RoR
Woodleaf,Woodleaf,154531,14,CA_PGE_N,Hydro_NonPumped,Water,67.2,1,218.7909445,,RoR
Yale,Yale,154761,46,WA_W,Hydro_NonPumped,Water,134,1,566.551,,Reservoir
Yellowtail,Yellowtail,154679,31,MT_SE,Hydro_NonPumped,Water,268.8,1,681.0692222,,Reservoir
Yelm,Yelm,154771,46,WA_W,Hydro_NonPumped,Water,12,1,69.71433361,,RoR
